DEPARTAMENTO,CARGO,SUELDO BRUTO,MES,AÑO
DIRECCION GENERAL,DIRECTOR GENERAL DEL CESAC,150000,Mayo,2026
DIRECCION GENERAL,AYUDANTE DEL DIRECTOR GENERAL,90000,Mayo,2026
DIRECCION GENERAL,COORDINADORA DE EQUIDAD DE GENERO Y PREVENCION DE V. INF-,70000,Mayo,2026
DIRECCION GENERAL,SUBDIRECTOR ADMINISTRATIVO,70000,Mayo,2026
DIRECCION GENERAL,SUB-DIRECTOR ASISTENTE PERSONAL DEL DIRECTOR GRL,70000,Mayo,2026
DIRECCION GENERAL,SUB-DIRECTOR DE RECIBO Y DESPACHO DE CORRESPONDENCIAS,70000,Mayo,2026
DIRECCION GENERAL,ENC. DE LA OFICINA LIBRE ACCESO INFORMACION,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO ASUNTOS LEGALES,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO DE RECIBO Y DESPACHO CORRESP,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO. ADMINISTRATIVA,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO. COORDINACION GENERAL COM. ETICA,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO. DE ANALISIS AVSEC,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO. DE ARCHIVO CENTRAL,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO. DE CLASIFICACION Y EVALU. DE DOCUMENTO,35000,Mayo,2026
DIRECCION GENERAL,ENC. DEPTO. DE TECNICO,35000,Mayo,2026
DIRECCION GENERAL,ENC. DIV. ANALISIS Y SUPERVISION,25000,Mayo,2026
DIRECCION GENERAL,ENC. DIV. CONTROL DE EXAMENES POLIGRAFICOS,25000,Mayo,2026
DIRECCION GENERAL,ENC. DIV. DE DIGITACION Y ARCHIVO,30000,Mayo,2026
DIRECCION GENERAL,ENC. DIV. DE EVALUACION DOCUMENTACION AVSEC,25000,Mayo,2026
